Player,Year,Team, Salary 
Jamal Crawford,2001,Chicago Bulls,"  1,762,320 "
Bryce Drew,2001,Chicago Bulls,"  1,182,600 "
Chris Herren,2001,Boston Celtics,"  316,969 "
Adrian Griffin,2001,Boston Celtics,"  498,500 "
Doug Overton,2001,Boston Celtics,"  548,500 "
Chris Carr,2001,Boston Celtics,"  1,200,000 "
Rick Brunson,2001,Miami Heat,"  16,000 "
Alan Henderson,2001,Atlanta Hawks,"  5,910,000 "
Lorenzen Wright,2001,Atlanta Hawks,"  4,950,000 "
Chris Crawford,2001,Atlanta Hawks,"  2,200,000 "
DerMarr Johnson,2001,Atlanta Hawks,"  2,107,200 "
Jason Terry,2001,Atlanta Hawks,"  1,579,080 "
Anthony Johnson,2001,Atlanta Hawks,"  1,200,000 "
Cal Bowdler,2001,Atlanta Hawks,"  1,102,800 "
Roshown McLeod,2001,Atlanta Hawks,"  978,600 "
Dion Glover,2001,Atlanta Hawks,"  960,480 "
Larry Robinson,2001,Atlanta Hawks,"  611,000 "
Matt Maloney,2001,Atlanta Hawks,"  611,000 "
Metta World Peace,2001,Chicago Bulls,"  1,160,760 "
Hanno Mottola,2001,Atlanta Hawks,"  316,969 "
Antoine Walker,2001,Boston Celtics,"  10,130,000 "
Kenny Anderson,2001,Boston Celtics,"  7,520,000 "
Bryant Stith,2001,Boston Celtics,"  5,920,000 "
Vitaly Potapenko,2001,Boston Celtics,"  4,290,000 "
Eric Williams,2001,Boston Celtics,"  3,890,000 "
Greg Minor,2001,Boston Celtics,"  3,240,000 "
Tony Battie,2001,Boston Celtics,"  3,200,000 "
Walter McCarty,2001,Boston Celtics,"  2,670,000 "
Randy Brown,2001,Boston Celtics,"  2,250,000 "
John Williams,2001,Boston Celtics,"  2,100,000 "
Paul Pierce,2001,Boston Celtics,"  1,608,840 "
Jerome Moiso,2001,Boston Celtics,"  1,461,960 "
Anthony Miller,2001,Atlanta Hawks,"  40,000 "
Ben Wallace,2001,Detroit Pistons,"  4,000,000 "
Fred Hoiberg,2001,Chicago Bulls,"  880,000 "
Corey Benjamin,2001,Chicago Bulls,"  749,160 "
Terry Mills,2001,Dallas Mavericks,"  1,400,000 "
Etan Thomas,2001,Dallas Mavericks,"  1,388,880 "
Courtney Alexander,2001,Dallas Mavericks,"  1,319,400 "
Greg Buckner,2001,Dallas Mavericks,"  1,100,000 "
Donnell Harvey,2001,Dallas Mavericks,"  862,560 "
Mark Bryant,2001,Dallas Mavericks,"  829,268 "
Leon Smith,2001,Dallas Mavericks,"  483,680 "
Bill Curley,2001,Dallas Mavericks,"  423,500 "
Eduardo Najera,2001,Dallas Mavericks,"  316,969 "
Antonio McDyess,2001,Denver Nuggets,"  10,800,000 "
Nick Van Exel,2001,Denver Nuggets,"  9,200,000 "
Tariq Abdul-Wahad,2001,Denver Nuggets,"  4,500,000 "
Robert Pack,2001,Denver Nuggets,"  4,320,000 "
Voshon Lenard,2001,Denver Nuggets,"  3,780,000 "
Tracy Murray,2001,Denver Nuggets,"  3,060,000 "
Raef LaFrentz,2001,Denver Nuggets,"  2,970,840 "
Mark Strickland,2001,Denver Nuggets,"  2,400,000 "
Calbert Cheaney,2001,Denver Nuggets,"  2,200,000 "
George McCloud,2001,Denver Nuggets,"  2,200,000 "
Cory Alexander,2001,Denver Nuggets,"  2,160,000 "
Keon Clark,2001,Denver Nuggets,"  1,379,400 "
James Posey,2001,Denver Nuggets,"  1,047,600 "
Terry Davis,2001,Denver Nuggets,"  923,500 "
Mamadou N'Diaye,2001,Denver Nuggets,"  737,880 "
Ryan Bowen,2001,Denver Nuggets,"  510,000 "
Dirk Nowitzki,2001,Dallas Mavericks,"  1,693,560 "
Hubert Davis,2001,Dallas Mavericks,"  2,100,000 "
Gary Trent,2001,Dallas Mavericks,"  2,400,000 "
Howard Eisley,2001,Dallas Mavericks,"  4,250,000 "
Dikembe Mutombo,2001,Atlanta Hawks,"  14,400,000 "
A.J. Guyton,2001,Chicago Bulls,"  316,969 "
Jake Voskuhl,2001,Chicago Bulls,"  316,969 "
Khalid El-Amin,2001,Chicago Bulls,"  316,969 "
